student_id,school_year,season,assessment,subject,value_type,value,school,grade_num,source_file,year_confidence
2012995,2022-23,Fall,STAR,Reading,score,1019.0,Willard Middle School,7.0,base_data.xlsx,High
2013295,2022-23,Fall,STAR,Reading,score,1016.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2011858,2022-23,Fall,STAR,Reading,score,1046.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2011889,2022-23,Fall,STAR,Reading,score,1054.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2011767,2022-23,Fall,STAR,Reading,score,1078.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2015959,2022-23,Fall,STAR,Reading,score,938.0,Washington Elementary School,5.0,base_data.xlsx,High
2021967,2022-23,Fall,STAR,Reading,score,1005.0,Berkeley High School,9.0,base_data.xlsx,High
2012274,2022-23,Fall,STAR,Reading,score,1017.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2011768,2022-23,Fall,STAR,Reading,score,1000.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2010045,2022-23,Fall,STAR,Reading,score,939.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2018368,2022-23,Fall,STAR,Reading,score,943.0,Willard Middle School,7.0,base_data.xlsx,High
2011777,2022-23,Fall,STAR,Reading,score,908.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2021072,2022-23,Fall,STAR,Reading,score,955.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2009428,2022-23,Fall,STAR,Reading,score,990.0,Willard Middle School,8.0,base_data.xlsx,High
2022589,2022-23,Fall,STAR,Reading,score,917.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2015378,2022-23,Fall,STAR,Reading,score,1042.0,Willard Middle School,6.0,base_data.xlsx,High
2016568,2022-23,Fall,STAR,Reading,score,822.0,John Muir Elementary School,4.0,base_data.xlsx,High
2021078,2022-23,Fall,STAR,Reading,score,1050.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2018175,2022-23,Fall,STAR,Reading,score,847.0,Berkeley Arts Magnet Elementary School,4.0,base_data.xlsx,High
2013546,2022-23,Fall,STAR,Reading,score,1091.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2009839,2022-23,Fall,STAR,Reading,score,1041.0,Willard Middle School,8.0,base_data.xlsx,High
2011542,2022-23,Fall,STAR,Reading,score,1093.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2016402,2022-23,Fall,STAR,Reading,score,939.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2013573,2022-23,Fall,STAR,Reading,score,975.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2016833,2022-23,Fall,STAR,Reading,score,863.0,Malcolm X Elementary School,5.0,base_data.xlsx,High
2016365,2022-23,Fall,STAR,Reading,score,769.0,Malcolm X Elementary School,4.0,base_data.xlsx,High
2010981,2022-23,Fall,STAR,Reading,score,1031.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2020789,2022-23,Fall,STAR,Reading,score,850.0,Willard Middle School,6.0,base_data.xlsx,High
2018648,2022-23,Fall,STAR,Reading,score,924.0,Oxford Elementary School,4.0,base_data.xlsx,High
2012590,2022-23,Fall,STAR,Reading,score,998.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2013224,2022-23,Fall,STAR,Reading,score,946.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2014148,2022-23,Fall,STAR,Reading,score,976.0,Willard Middle School,8.0,base_data.xlsx,High
2018392,2022-23,Fall,STAR,Reading,score,867.0,John Muir Elementary School,4.0,base_data.xlsx,High
2018354,2022-23,Fall,STAR,Reading,score,867.0,Cragmont Elementary School,4.0,base_data.xlsx,High
2016932,2022-23,Fall,STAR,Reading,score,948.0,Washington Elementary School,4.0,base_data.xlsx,High
2018582,2022-23,Fall,STAR,Reading,score,915.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2014700,2022-23,Fall,STAR,Reading,score,930.0,Oxford Elementary School,5.0,base_data.xlsx,High
2021327,2022-23,Fall,STAR,Reading,score,978.0,Willard Middle School,8.0,base_data.xlsx,High
2013668,2022-23,Fall,STAR,Reading,score,956.0,Willard Middle School,6.0,base_data.xlsx,High
2016848,2022-23,Fall,STAR,Reading,score,915.0,Cragmont Elementary School,4.0,base_data.xlsx,High
2016146,2022-23,Fall,STAR,Reading,score,999.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2015528,2022-23,Fall,STAR,Reading,score,975.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2017028,2022-23,Fall,STAR,Reading,score,615.0,Oxford Elementary School,5.0,base_data.xlsx,High
2014546,2022-23,Fall,STAR,Reading,score,973.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2012854,2022-23,Fall,STAR,Reading,score,973.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2022627,2022-23,Fall,STAR,Reading,score,967.0,Willard Middle School,7.0,base_data.xlsx,High
2009146,2022-23,Fall,STAR,Reading,score,986.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2016463,2022-23,Fall,STAR,Reading,score,956.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2013074,2022-23,Fall,STAR,Reading,score,960.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2015040,2022-23,Fall,STAR,Reading,score,969.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
